Modelo-Tokenizer,Size,Loss,Perplexity,BERTScore_F1
Baseline-default,5000,5.478768,239.551367,0.918291
Baseline-custom,5000,3.769253,43.359466,0.760105
FT-default,500,0.793877,2.211195,0.964219
FT-custom,500,4.142922,62.986625,0.770858
FT-default,1000,0.571399,1.770743,0.988645
FT-custom,1000,3.652842,38.58415,0.77753
FT-default,2000,0.495197,1.640822,0.990386
FT-custom,2000,2.964597,19.386893,0.778851
FT-default,3000,0.443601,1.557803,0.989196
FT-custom,3000,2.560343,12.940258,0.749483
FT-default,4000,0.425956,1.531054,0.983731
FT-custom,4000,2.194363,8.974286,0.796867
FT-default,5000,0.386777,1.472228,0.987847
FT-custom,5000,2.0265,7.587484,0.799437
Scratch-default,500,6.419136,613.472581,0.75335
Scratch-custom,500,6.021449,413.289757,0.735355
Scratch-default,1000,5.829728,340.265995,0.885435
Scratch-custom,1000,6.52686,287.971309,0.812918
Scratch-default,2000,5.395562,220.425924,0.890174
Scratch-custom,2000,5.508493,246.779055,0.74294
Scratch-default,3000,5.195553,167.488783,0.894084
Scratch-custom,3000,5.14538,171.636698,0.757385
Scratch-default,4000,5.055269,156.864757,0.885708
Scratch-custom,4000,5.017225,160.592661,0.82153
Scratch-default,5000,4.865474,129.732384,0.896462
Scratch-custom,5000,4.82177,124.184668,0.757347
